INSTANCE_ID,IMAGE_ID,INSTANCE_TYPE,INSTANCE_LUNCH_TIME,AVAILABILITY_ZONE
i-03d3481f8190c9a91,ami-01eccbf80522b562b,t2.micro,2024-03-17 21:40:05+00:00,us-east-1c
i-080711145aa73b8d1,ami-01eccbf80522b562b,t2.micro,2024-03-17 21:40:05+00:00,us-east-1c
